"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","pos_avgLFC","avg_LFC"
"Prolif_MKI67","CSRNP1",-2.5902428084429,4.79135940280761,-8.55129169929295,3.08128481443089e-15,1.27296487479323e-11,5.90312529331432,-7.88756953142536,-1.20347669115245,-0.833176170797847
"Prolif_MKI67","PCF11",-2.06832197797764,6.30975842581394,-8.11980472759894,3.1502054809476e-15,1.27296487479323e-11,5.88585561644792,-7.88480758248468,0.000191016419520503,0.00016162927805581
"Prolif_MKI67","ABHD17A",1.27474002248035,6.31426511198634,8.12599193193252,3.83484996326599e-15,1.47214137814836e-11,6.71239960188168,7.86021162963976,0.910041935955012,0.770035484269625
"Prolif_MKI67","FAM89B",2.00151601860065,5.49017113534301,8.15150456055499,4.17018827109224e-15,1.52464068995071e-11,6.7528144482074,7.84970445249692,1.30122578132531,0.9008486178406
"Prolif_MKI67","TRA2A",-1.37339286346736,6.63856269591573,-8.00158510702064,6.26733280025373e-15,2.18721368365946e-11,5.71387027833001,-7.79844767869818,-0.0310679274476828,-0.0310679274476828
"Prolif_MKI67","C1orf122",1.37611791071357,6.65806870409179,7.94588614729759,1.05342702904913e-14,3.51647682649152e-11,5.8295468072518,7.73263537246696,0.405427371575359,0.311867208904122
"Adapt_TMEM163","EP300",2.18348381153718,5.71897732919813,8.07658427415774,2.18338541564365e-14,6.98474091903636e-11,3.09490727857707,7.63933970581209,0.747857034346302,0.632802105985333
"Prolif_MKI67","CYB5A",1.48964150120549,5.65894392411267,7.87402322914112,3.05742411334505e-14,9.38959404601173e-11,5.58678329527872,7.59586531081964,0.0972684626331131,0.0748218943331639
"Prolif_MKI67","SUGT1",1.70322368594333,6.91585128487911,8.1075029514967,3.73174284314436e-14,1.10196930872344e-10,5.01358637235195,7.57001738518909,0.561315677939775,0.431781290722904
"Prolif_MKI67","MYLIP",-2.20974057737868,5.00079341676778,-8.12474589343846,6.20849269487254e-14,1.76544238383048e-10,5.89544930066765,-7.50360770136515,-1.20928551270162,-0.930219625155089
"Prolif_MKI67","SPATS2L",2.19944954670585,5.41977896047381,8.37918530129772,8.44492004607128e-14,2.31562723706148e-10,5.25162466887517,7.46319503313051,1.81383527157681,1.25573211109164
"Prolif_MKI67","PPP2CB",1.15817979898797,5.92266677742766,7.45801032764035,5.14255184793616e-13,1.3614817352724e-09,5.02435921010427,7.22147806318322,0.796882898565116,0.612986845050089
"Prolif_MKI67","TXNL4A",1.36025900899812,7.35510041215491,7.30796053534387,7.54180167046205e-13,1.93012302284355e-09,4.69483175751357,7.16923497270205,0.443980187386815,0.375675543173459
"Prolif_MKI67","DESI1",1.86747061900648,5.52190780571311,7.3878447592422,9.26069865827662e-13,2.29357632544034e-09,4.82878618865424,7.14107027641202,0.0407856679391851,0.0313735907224501
"Prolif_MKI67","NFKBIZ",-2.51232534540602,6.69294290460981,-7.26535853169213,1.12159162152649e-12,2.69101374768561e-09,4.62165616850501,-7.11469675382509,-0.647478467597328,-0.597672431628302
"Prolif_MKI67","SETD7",1.27628215952358,4.91191535428769,7.45302466809031,1.1665250106986e-12,2.71400881049717e-09,4.94356840019537,7.10927689907655,0.175665876140614,0.0810765582187451
"Prolif_MKI67","LIMA1",1.71689026893825,5.18508140524191,7.34090065114546,1.40785510912596e-12,3.11276453560383e-09,4.81549541895325,7.08327636436963,0.665204053990326,0.409356340917124
"Prolif_MKI67","ID2",-1.47056819079286,8.68431613989554,-7.22351076122165,1.41900254954132e-12,3.11276453560383e-09,4.38271000170335,-7.08218381866883,-1.11643964393153,-1.11643964393152
"Prolif_MKI67","RAB3IL1",1.57599610664741,5.62385127992287,7.33272877942678,1.7993734530987e-12,3.83751376690442e-09,5.05935624937854,7.04920928503384,0.565303407912314,0.478333652848881
"Prolif_MKI67","GALK1",2.71940313255663,5.14504683096005,8.54402956169928,2.55688749178961e-12,5.30567975559813e-09,5.43147169316089,7.00014992427975,0.629002632171363,0.338693725015349
"Adapt_TMEM163","S100A8",-2.66122652589743,9.12468858178321,-7.45048850279629,4.45505530108228e-12,8.7876536742583e-09,1.7050727950624,-6.92193822473366,-2.41436389705856,-1.11432179864241
"Prolif_MKI67","RRM2B",-2.02222780048137,5.90882211067653,-7.18991002899297,4.46381720171502e-12,8.7876536742583e-09,4.54659652091983,-6.92165995538227,0.366028116579822,0.281560089676786
"Prolif_MKI67","CLTB",1.51593088309576,6.82809041378618,7.02556199952784,5.95692145915972e-12,1.13299722539636e-08,4.25287208686938,6.88067595998554,0.0776821647189684,0.0657310624545117
"Prolif_MKI67","BRIX1",1.17396358051158,5.92665120556547,7.05747202457383,6.05036485422074e-12,1.13299722539636e-08,4.34375047185682,6.87845855095879,-0.256578936089536,-0.197368412376566
"Prolif_MKI67","LGMN",2.5559489992883,8.01690396534303,7.04397994095774,8.64842063889256e-12,1.54202542897962e-08,3.64246337401275,6.82737204039805,0.562107876482341,0.562107876482341
"Prolif_MKI67","FBXL15",1.14460547489926,5.68803683746553,7.04535230549868,8.71441681207026e-12,1.54202542897962e-08,4.31878732518896,6.82628098568782,-0.0577493671412214,-0.048864849119495
