assay,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,diffexpressed,cluster,pos_avgLFC,avg_LFC,gene
Myeloid,IGSF6,1.3679871903665557,8.052516926942854,3.1159634757246137,0.003996992032901243,0.029261114783996078,-2.0793813229996907,2.8783990342623005,NS,Bad_Myeloid,1.2219998200831277,0.9164998650623457,IGSF6
MONO,IGSF6,0.7317219622193782,8.012924792021474,2.5752080363094083,0.015320494853330044,0.06877559816044604,-3.4176097632486746,2.424712957485115,NS,Bad_MONO,1.2219998200831277,0.9164998650623457,IGSF6
NEUT,ZNF217,1.567549609325897,6.3167587380222,6.0755533872901655,5.916683534900213e-6,9.399439267458021e-4,4.731454340032188,4.5293449468188784,NS,Bad_NEUT,0.9460040157713678,0.9460040157713678,ZNF217
T Cells,ZNF217,1.0598674278594746,5.829453404584421,3.4740575459313865,0.001550213464187187,0.017005371940477628,-1.282982422530691,3.165115602176441,NS,Bad_T Cells,0.9460040157713678,0.9460040157713678,ZNF217
Myeloid,ZNF217,0.8082819864059871,5.609162029153535,3.272716948276928,0.002593395869940038,0.022734167368009494,-1.7286813930500093,3.0122258289817507,NS,Bad_Myeloid,0.9460040157713678,0.9460040157713678,ZNF217
MONO,ZNF217,0.34831703949411263,5.963060863755309,1.4485206310108387,0.15966014526731837,0.31891590482070775,-5.463831516747009,1.406215491967143,NS,Bad_MONO,0.9460040157713678,0.9460040157713678,ZNF217
T Cells,UBE2S,1.7012171446897852,7.082822117261831,6.504510008113396,2.814350575737823e-6,6.368002940227818e-4,6.371243202329054,4.68392351769628,NS,Bad_T Cells,0.9770496661375738,0.9770496661375738,UBE2S
MONO,UBE2S,1.0561460170426074,6.214261301458996,3.578830879427736,0.003427347566136894,0.02680931241779486,-1.1070128661095957,2.9265587581825425,NS,Bad_MONO,0.9770496661375738,0.9770496661375738,UBE2S
Myeloid,UBE2S,0.6045404315037501,6.1427390832468856,2.3699912971081765,0.024132572662611353,0.09146849803223205,-3.6814800010669506,2.2550120463503593,NS,Bad_Myeloid,0.9770496661375738,0.9770496661375738,UBE2S
NEUT,UBE2S,0.5462950713141526,6.319485542099034,2.192994743592987,0.03783860841895864,0.1231288168445984,-4.10093790172021,2.076598749522407,NS,Bad_NEUT,0.9770496661375738,0.9770496661375738,UBE2S
Myeloid,AC008735.2,3.937636190929532,0.2276123700651934,4.8837598178085635,2.9098270123688115e-5,0.0021236498144999545,2.440324086485303,4.180410986732349,NS,Bad_Myeloid,3.937636190929532,0.984409047732383,AC008735.2
MONO,MAF,2.4251312794798245,7.058365772981124,6.246598049790664,5.444682041455159e-6,9.177822048810139e-4,5.596044762073696,4.546880774251594,NS,Bad_MONO,1.3181151575463932,0.9885863681597948,MAF
T Cells,MAF,0.8849402437743894,7.277070485159711,3.663260724192773,0.0013777775414481293,0.015837628146932636,-0.8333128146923157,3.1992664789282883,NS,Bad_T Cells,1.3181151575463932,0.9885863681597948,MAF
Myeloid,MAF,0.6442739493849654,8.642471172484576,1.6348734900432664,0.11206441253584108,0.2525108528180044,-5.000956436389423,1.5889821950503422,NS,Bad_Myeloid,1.3181151575463932,0.9885863681597948,MAF
MONO,FRAT2,1.1257571785435356,5.741723482900321,6.8991950089629714,8.747354661659322e-7,3.787433051740415e-4,7.33854688157945,4.917909022649275,NS,Bad_MONO,1.3477816865595071,1.0108362649196303,FRAT2
NEUT,FRAT2,1.5478641492225584,6.055509492277254,5.4362757315335895,1.2415861509245438e-5,0.0013505766199367378,3.1534307319056696,4.3701545754713775,NS,Bad_NEUT,1.3477816865595071,1.0108362649196303,FRAT2
