p_val	p_val_adj	cluster	gene	avg_log2FC.y	pct.1.y	pct.2.y	sd.1	sd.2	RNA.MTC.123	RNA.MTC.456	se	tstat	log2FC
0	0	MTC_456	POMP	0.9292555774109563	1	0.997	0.37139830457151346	0.3476170143845527	0.7578604163938703	1.9170074363404084	0.004274620316535586	217.38903308354693	0.9292555774109563
0	0	MTC_456	PSMA7	0.9275697623841936	1	0.997	0.3674788864584789	0.32878511807165794	0.8360612806075831	2.0351295725981924	0.004149805720729587	223.5212501035146	0.9275697623841936
0	0	MTC_456	CTSB	0.926323067950567	1	1	0.41533262471737115	0.24648108812826058	4.502205054340703	9.507924584992043	0.004115202047280568	225.0978341543899	0.926323067950567
0	0	MTC_456	BASP1	0.9221762312084552	0.988	0.916	0.5188140750074393	0.37271796232220217	0.41815110645541537	1.0028062795763577	0.005414198411345081	170.32553318993598	0.9221762312084552
0	0	MTC_456	C15orf48	0.918312686146575	0.555	0.038	0.5880307840215805	0.04452941372072887	0.00263192353018201	0.22159393074439307	0.005109104041386281	179.7404552163718	0.918312686146575
0	0	MTC_456	SLC3A2	0.9097599199999273	0.991	0.959	0.4519599170908755	0.39737712549366944	0.49090218672251096	1.3050612183579988	0.00506772848807036	179.5202568846258	0.9097599199999273
0	0	MTC_456	C5AR1	0.9066003609605402	0.985	0.93	0.5117079460893397	0.4042492146343256	0.4737148094801631	1.1399384060692652	0.0055106651092651756	164.51741177961577	0.9066003609605402
0	0	MTC_456	ISG15	0.9047124319557835	0.877	0.777	0.6690501082368246	0.3337104745624342	0.13642267906247207	0.44736423045145857	0.006396434610176177	141.44011267096576	0.9047124319557835
0	0	MTC_456	SRGN	0.902933761073295	1	1	0.4839328972134045	0.5680146844277681	7.471329055912015	13.97365882971524	0.0062221119907598516	145.11692531638727	0.902933761073295
0	0	MTC_456	AP2S1	0.8956332351202165	0.993	0.956	0.45012902123870796	0.3026745472671263	0.3586355898913212	0.9597055509652247	0.0046062258932502665	194.43971178934856	0.8956332351202165
0	0	MTC_456	METRNL	0.8939053012736695	0.833	0.405	0.5066947190022596	0.1531486115729143	0.03727117978263919	0.33722226395253047	0.004562944002133961	195.90538495664535	0.8939053012736695
0	0	MTC_456	TAGLN2	0.8926369150528208	0.953	0.735	0.4047099128065549	0.26276401737640026	0.11902317664005224	0.4853060917899964	0.004101639041923437	217.6293198716542	0.8926369150528208
0	0	MTC_456	VEGFA	0.8900266725547785	0.775	0.439	0.584759519272445	0.21755383984851676	0.04574309283750381	0.3344790805979139	0.00536504009036806	165.89375989056583	0.8900266725547785
